period,cbr_rate,inflation
2018-01-01,7.5,2.266666666666667
2018-04-01,7.25,2.3666666666666667
2018-07-01,7.333333333333333,3.0
2018-10-01,7.583333333333333,3.8666666666666667
2019-01-01,7.75,5.166666666666667
2019-04-01,7.666666666666667,5.0
2019-07-01,7.166666666666667,4.3
2019-10-01,6.416666666666667,3.4333333333333336
2020-01-01,6.083333333333333,2.4
2020-04-01,5.166666666666667,3.1
2020-07-01,4.25,3.5666666666666664
2020-10-01,4.25,4.433333333333334
2021-01-01,4.333333333333333,5.566666666666666
2021-04-01,5.166666666666667,6.0
2021-07-01,6.583333333333333,6.859999999999999
2021-10-01,7.833333333333333,8.306666666666667
2022-01-01,16.166666666666668,11.523333333333333
2022-04-01,12.5,16.94333333333333
2022-07-01,7.833333333333333,14.36
2022-10-01,7.5,12.183333333333332
2023-01-01,7.5,8.756666666666666
2023-04-01,7.5,2.69
2023-07-01,11.166666666666666,5.1499999999999995
2023-10-01,15.333333333333334,7.196666666666666
2024-01-01,16.0,7.616666666666667
2024-04-01,16.0,8.243333333333334
2024-07-01,18.333333333333332,8.936666666666667
2024-10-01,21.0,8.979999999999999
2025-01-01,21.0,10.106666666666667
2025-04-01,20.666666666666668,9.836666666666668
2025-07-01,17.666666666666668,8.303333333333333
2025-10-01,16.333333333333332,6.646666666666666
2026-01-01,15.5,5.923333333333333
2026-04-01,14.5,5.58
